enstxids	sym	C12.rna	C3.rna	Q.rna	preS.rna	S.rna	Tr.rna	C12.rp	C3.rp	Q.rp	preS.rp	S.rp	Tr.rp
ENST00000444053	AAMP	63.46	52.85	54.9	71.12	70.84	74.12	74.43	59.31	46	39.29	36.36	58.53
ENST00000374736	ABCA1	1.37	4.09	1.43	2.12	17.17	11.42	3.18	6.84	3.99	6.61	58.62	27.43
ENST00000301732	ABCA3	1.11	2.44	2.37	1.64	19.72	3.11	1	1	1.69	1.11	11.52	1.25
ENST00000344517	ABCB10	9.6	11.33	8.25	9.31	6.46	9.19	8.61	7.94	10.48	11.02	6.86	11.52
ENST00000285238	ABCC3	8.47	6.41	6.46	3.62	1.13	9.02	6.98	8.03	7.62	3.4	1.59	9.26
ENST00000222388	ABCF2	52.14	48.41	34.59	55.61	58.76	53.64	65.9	63.26	31.93	33.12	61.02	71.86
ENST00000273359	ABHD10	14.14	12.54	10.24	19.73	19.5	13.85	22.81	32.08	15.61	15.08	36.53	25.92
ENST00000483233	ABHD14B	12.96	11.91	17.63	15.53	22.96	9.48	23.46	16.1	26.4	10.05	21.56	7.31
ENST00000428304	ABHD4	11.72	10.62	35.94	17.91	10.67	13.44	9.95	19.66	36.07	8.62	10.22	14.12
ENST00000458276	ABHD5	21.41	25.38	18.8	39.35	48.61	19.99	23.61	44.91	15.86	22.48	52.58	25.24
ENST00000225941	ABI3	8.67	1.71	5.51	8.7	1	10.41	6.03	1	3.67	1.06	1	3.05
ENST00000502732	ABL2	14.3	15.12	12.03	23.89	27.31	12.93	9.88	17.06	8.91	19.86	33.76	15.83
ENST00000274849	ABT1	15.09	11.61	13	18.04	12.28	16.38	29.59	25.41	23.53	24.12	11.36	32.55
ENST00000232744	ABTB1	3.76	5.76	9.6	3.4	5.58	11.42	2.05	3.85	6.72	3.61	2.48	4.5
ENST00000433511	AC006465.3	5	6.04	6.27	5.42	8.92	4.97	5.54	21.8	10.51	13.34	13.02	7.13
ENST00000418788	AC012318.1	44.41	4.36	30.9	48.21	6.18	9.24	30.75	29.11	10.57	19.34	14.68	14.9
ENST00000251473	AC024575.1	32.21	38.4	35.21	30.22	72.58	36.59	4.96	6.63	10.7	11.84	14.83	3.09
ENST00000448136	AC090699.1	33.86	21.26	27.9	48.36	37.5	53.16	12.16	6.06	1.72	9.96	10.35	31.36
ENST00000353139	ACACA	18.41	14.09	45.19	21.63	12.63	21.63	15.12	11.91	44.97	26.33	16.28	23.85
ENST00000354700	ACAP3	17.39	13.32	17.15	14.59	12.43	16.44	7.1	8.48	10.03	12.29	4.55	6.25
ENST00000541436	ACAT2	30.92	19.37	152.44	31.68	12.31	43.54	76.01	51.58	247.47	61.41	25.93	82.25
ENST00000393919	ACD	20.87	10.34	13.85	18.17	5.58	13.24	25.05	13.18	15.86	16.79	4.31	10.55
ENST00000401700	ACLY	119.72	113.23	246.48	130.42	138.74	113.27	177.79	174.46	428.79	210.33	251.63	165.15
ENST00000432641	ACN9	4.08	2.85	3.39	5.22	4.22	4.31	26.33	26.57	15.88	10.63	21.62	20.06
ENST00000230048	ACOT13	26.44	17.46	28.61	30.23	34.91	23.37	25.81	35.78	23.45	13.85	50.56	24.91
ENST00000272067	ACP1	34.44	35.68	31.56	39.18	53.94	49.49	51.29	51.87	26.47	40	61.6	53.38
ENST00000351273	ACPP	1.24	1.93	5.24	11.95	60.77	31.98	5.57	8.34	15.85	44.34	291.65	121.36
ENST00000357430	ACSL3	22.18	26.37	42.44	25.05	36.32	27.13	69	71.6	111.49	102.07	152.69	86.62
ENST00000253382	ACSS2	10.36	9.58	66.83	10.52	10.29	12.37	9.95	13.03	76.06	13.11	10.34	14.85
ENST00000458208	ACTA2	23.83	51.98	31.01	13.41	45.31	7.79	23.87	61.99	34.98	16.38	47.84	10.49
ENST00000331789	ACTB	4719.76	4432.23	2230.43	3200.78	2962.36	3173.83	5954.92	5767.15	3968.05	3539.11	2946.41	3326.5
ENST00000409624	ACTG2	22.39	2.13	9.42	8.15	1.01	1	42.21	4.89	19.89	17.02	2.92	1.27
ENST00000289228	ACTR1B	26.98	44.61	33.04	25.1	27.32	27.91	41.78	47.23	40.59	26.79	19.99	18.07
ENST00000263640	ACVR1	22.23	23.88	32.66	23.62	17.87	27.58	24.7	29.87	36.16	24.83	46.48	29.22
ENST00000555463	ACYP1	6.01	4.09	6.06	7.49	3.86	4.3	22.78	18.29	13.34	11.16	9.81	11.05
ENST00000356518	ADAM33	9.21	12.23	14.12	3.47	2.7	8.12	4.05	5.78	8.34	3.36	1.71	1.28
ENST00000284984	ADAMTS1	76.15	228.62	38.25	76.98	110.72	27.61	177.12	518.89	92.44	198.73	493.89	71.3
ENST00000274487	ADAMTS19	1	2.62	1.68	1	18.77	3.56	1.61	3.45	3.29	2.08	48.48	4.85
ENST00000251582	ADAMTS2	8.71	26.46	5.21	3.78	3.4	15.34	10.13	17.81	5.99	2.16	2.15	9.95
ENST00000367996	ADAMTS4	1.9	3.66	4.37	3.27	1.06	1	6.24	6.43	12.28	11.25	3.08	1.49
ENST00000394697	ADCY7	7.34	5.47	8.18	9.24	6.36	15.3	3.35	2.15	5.68	5.26	4.29	5.64
ENST00000373178	ADPRHL2	27.38	22.73	27.35	30.83	19.36	24.47	26.72	21.73	32.8	36.63	14.57	15.21
ENST00000306675	ADRA1B	13.29	10.77	15.99	5.68	1.42	1	6.38	3.82	10.43	2.57	1	1
ENST00000379453	ADRA1D	9.44	10.41	11.66	6.63	6.73	2.86	10.01	9.14	12.15	7.89	5.06	2.18
ENST00000305988	ADRB2	5.86	2.49	2.88	6.9	7.5	3.05	8.24	2.11	3.93	6.06	12.81	2.89
ENST00000223357	AEBP1	33.65	94.38	30.15	17.1	4.37	15.44	36.42	121.85	51.27	18.63	6.13	14.05
ENST00000221561	AES	118.45	148.03	152.27	117.04	217.48	93.98	86.01	153.05	126.35	69.69	114.06	54.12
ENST00000420658	AFAP1	25.15	35.2	19.36	12.36	17.6	22.4	26.81	39.71	23.85	14.86	19.02	28.34
ENST00000396987	AGPAT6	17.1	20.01	23.47	22.53	28.75	25.65	16.49	9.02	21.99	29.67	42.49	18.17
ENST00000395226	AGPAT9	4.19	1.63	3.92	17.19	3.6	2.65	6	4.68	9.18	48.35	10.33	7.89
ENST00000379370	AGRN	22.04	32.56	23.2	17.48	52.61	40.6	17.1	31.44	40.22	33.46	58.55	29.42
ENST00000314340	AGTRAP	16.55	21.83	21.94	28.07	43.17	23.95	20.59	34.57	35.44	62.77	52.52	47.56
ENST00000374011	AHDC1	17.51	10.64	12.36	9.54	8.29	13.58	8.69	4.78	9.48	5.11	3.23	4.45
ENST00000378024	AHNAK	261.27	195.5	286.46	213.05	159.65	176.23	182.06	246.03	286.67	257.12	279.3	336.76
ENST00000333244	AHNAK2	7.02	7.59	15.57	10.12	10.03	4.27	3.78	6.5	15.54	7.47	11.78	4.92
ENST00000216479	AHSA1	99.45	76.99	81.79	115.55	101.7	112	224.41	126.8	136.92	138.25	137.97	151.96
ENST00000369066	AIM1	15.69	4.2	14.57	10.54	2.75	12	12.25	2.93	13.37	7.8	2.57	11.87
ENST00000395334	AK4	7.81	7.8	14.24	5.87	6.21	2.29	16.5	25.56	44.03	21.42	14.75	9.03
ENST00000354567	AK5	34.37	17.65	34.09	30.48	8.8	14.52	70.4	29.82	40.48	27.55	14.82	24.95
ENST00000402676	AKAP12	5.23	16.86	5.12	13.12	4.83	8.44	9.94	45.5	14.58	38.18	13.85	25.21
ENST00000361243	AKAP13	12.53	12.39	14.55	10.93	11.59	14.59	13.47	14.44	14.04	14.53	22.1	28.34
ENST00000359028	AKAP9	4.23	3.35	5.74	4.52	4.26	1.48	5.21	8.67	7.97	9.6	21.79	10.96
ENST00000307564	AKNA	3.27	2.33	4.17	3.49	1.68	6.45	2.37	1	1.44	1.67	1	1.9
ENST00000372070	AKR1A1	26.28	31.65	48.26	28.39	30.03	22.38	53.21	54.32	101.18	39.36	36.62	28.89
ENST00000285930	AKR1B1	336.47	205.88	427.74	281.05	543.94	937.3	504.39	311.45	562.29	326.84	530.12	975.94
ENST00000306107	ALCAM	71.56	66.76	47.41	55.29	63.66	40.52	153.72	153.11	90.7	156.2	340.85	114
ENST00000371224	ALDH18A1	48.49	43.99	54.33	51.94	39.88	35.88	68.94	46.69	77.54	92.45	54.03	62.68
ENST00000297785	ALDH1A1	4.52	39.51	4.19	1.64	3.75	1	16.66	96.26	10.61	5.45	7.97	1
ENST00000258494	ALDH1L2	9.28	14.41	21.55	6.74	10.52	4.38	15.65	20.58	36.72	13.71	19.73	9.68
ENST00000261733	ALDH2	15.22	12.58	31.3	21.81	24.13	16.04	29.83	15.55	52.72	27.47	26.18	20.6
ENST00000395321	ALDOC	10.13	20.13	44.22	11.01	8.69	10.32	19.41	24.32	64.57	13.45	9.92	12.32
ENST00000397676	ALG3	38.66	28.59	32.6	42.68	57.2	38.49	21.13	33.49	31.08	48.04	57.1	33.58
ENST00000429722	ALKBH2	11.81	6.58	10.43	9.76	5.09	8.91	6.52	7.96	14.16	9.8	2.77	10.66
ENST00000378875	ALKBH6	13.16	12.88	11.22	10.86	18.99	14.45	12.94	17.63	10.19	7.52	10.2	15.55
ENST00000361673	ALPK2	22.16	32.69	16.39	9.62	14.23	14.71	11.53	20.36	9.94	5.06	12.03	9.73
ENST00000514516	AMOTL2	55.25	60.95	30.39	23.4	22.72	43.23	103.27	80.76	79.89	36.95	27.46	62.08
ENST00000256578	AMPD2	38.15	31.96	46.59	40.56	33.91	38.2	25.47	24.48	51.37	44.57	25.55	26.12
ENST00000396554	AMPD3	4.32	6.38	9.39	10.1	81.32	48.58	4.45	6.87	9.95	10.7	92.64	56.23
ENST00000357385	ANAPC11	27.49	33.98	25.91	27	44.7	50.41	72.35	74.37	67.16	51.26	43.84	93.87
ENST00000510994	ANAPC13	30.46	32.16	31.89	39.79	57.65	30.96	75.3	91.86	33.87	29.76	62.98	98.63
ENST00000517746	ANGPT1	35.69	13.14	18.19	23.31	18.46	5.28	93.62	30.43	41.01	65.97	96.58	23.89
ENST00000373425	ANGPTL2	4.71	13.57	12.64	6.13	6.37	8.58	9.89	18.17	24.27	7.45	14.08	11.42
ENST00000301455	ANGPTL4	1.69	2.5	3.4	6.86	17.17	6.8	4.35	4.17	10.91	18.23	50.62	14.91
ENST00000396942	ANK1	1.66	7.11	2.52	1	1.73	2.28	1.21	5.12	2.48	1	1.92	1.77
ENST00000357077	ANK2	1.04	1	2.62	1.41	2.63	1	1	1	2.31	1	3.08	1
ENST00000284268	ANKH	6.2	6.88	13.95	7.89	4.72	8.33	5.52	4.72	14.97	7.24	3	8.04
ENST00000371697	ANKRD1	4.38	1.58	1	6.2	13.5	1	10.09	3.79	1	8.2	38.58	1.33
ENST00000301030	ANKRD11	38.22	21.76	37.98	31.97	18.04	28.18	14.06	5.59	22.04	25.45	4.08	9.2
ENST00000322980	ANKRD29	2.66	4.12	8.22	4.27	5.25	2.35	2.71	5.94	11.09	3.7	5.18	1.41
ENST00000265748	ANLN	140.01	104.8	50.88	68.4	3.01	66.71	196.54	136.58	66.61	87.04	6.54	143.21
ENST00000339399	ANP32B	140.66	119.72	91.65	105.85	47.29	111.25	392.98	416.81	202.98	219.85	124.31	531.53
ENST00000314136	ANP32E	30.77	30.26	19.44	25.11	9.99	24.94	194.57	176.93	95.62	68.86	55.05	180.92
ENST00000300060	ANPEP	262.28	358.81	419.98	582.07	652.77	934.93	315.72	617.67	875.97	1521.33	1756.44	1564.63
ENST00000303714	ANTXR1	19.23	31.47	22.47	13.09	15.83	52.64	28.41	59.08	41.29	34.07	59.7	127.48
ENST00000264908	ANXA3	1.25	3.32	1.55	2.07	25.48	1.19	3.09	7.64	3.26	3.1	69.67	5.67
ENST00000394295	ANXA4	19.38	32.4	35.16	22.78	41.64	15.62	73.1	107.73	129.92	67.58	115.28	45.28
ENST00000533341	AP000783.1	5.09	6.04	4.7	5.81	5.64	8.61	9.94	7.49	5.03	9.03	8.31	19.17
ENST00000337619	AP1S1	53.48	72.64	53.45	81.92	211.35	75.01	252.85	292.01	205.12	269.14	516.69	200.98
ENST00000263270	AP2S1	198.67	168.16	176.48	224.46	290.26	203.24	409.15	366.75	222.27	232.53	396.38	303.3
ENST00000316788	AP3S1	47.99	45.24	56.76	50.08	57.91	40.91	45.96	70.27	40.36	22.72	74.24	41.42
ENST00000265381	APBA1	5.05	5.98	11.14	8.1	11.54	6.45	2.68	4.63	8.84	5.39	8.37	5.56
ENST00000369109	APH1A	57.65	58.16	57.46	56.19	56.25	65.1	37.47	49.25	34.29	32.3	53.38	32.91
ENST00000278359	APIP	22.57	19.07	22.77	31.5	28.58	25.71	37.61	22.02	17.77	18.03	37.45	34.49
ENST00000221891	APLP1	3.26	2.98	2.92	1.9	5.32	8.46	2.64	4.91	5.27	2.82	7.51	10.24
ENST00000263574	APLP2	287.48	317.92	400.36	217.54	213.47	115.13	592.85	692.04	839.2	502.79	746.84	266.32
ENST00000361441	APOBEC3C	21.72	23.07	26.8	27	34.97	14.36	40.51	53.09	53.23	60.76	67.82	21.73
ENST00000343267	APOD	1	23.07	3.59	1	14.17	1.53	2.27	88.86	10.65	1	65.74	7.98
ENST00000409652	APOL6	3.75	4.22	9.08	2.22	1	6.29	8.25	11.28	26.7	4.38	2.44	33.34
ENST00000551662	APPL2	26.81	52.93	23.98	19.38	12.02	34.06	34.1	53.36	26.44	17.71	11.49	31.25
ENST00000378364	APRT	84.76	84.93	75.65	98.39	109.76	89.15	226.4	144.21	164.05	135.32	92.38	133.48
ENST00000374690	AR	9.28	8.86	10.81	5.1	2.38	5.29	20.86	17.96	28.24	7.63	6.83	10.05
ENST00000377045	ARAF	34.04	25.3	24.5	25.3	20.29	22.97	7.27	4.72	8.31	11.03	5.06	2.85
ENST00000380846	AREGB	1.39	1	5.08	4.87	9.79	10.75	1.37	1.92	8.66	10.37	37.23	38.18
ENST00000398092	ARF3	84.14	132.29	97	102.01	194.11	144.64	244.14	219.81	196.51	136.97	283.88	228
ENST00000303436	ARF4	225.84	290.73	248.78	291.89	607.71	245.3	657.76	834.95	497.25	486.1	1437.56	722.53
ENST00000254584	ARFIP2	31.53	24.31	37.08	40.84	60.2	27.9	50.83	34.33	43.21	64.77	54.48	25.36
ENST00000361627	ARHGAP11A	26.74	19.59	11.8	17.31	1	17.1	7.72	10.52	3.29	8.5	1	8.24
ENST00000395184	ARHGAP24	5.43	9.98	11.77	13.22	11.92	21.81	8.36	10.56	14.16	16.39	14.32	28.74
ENST00000260526	ARHGAP29	52.59	50.69	63.15	54.76	109.36	35.03	25.63	28.41	29.78	27.94	89.26	30.8
ENST00000298694	ARHGEF40	15.49	18.09	20.68	10.96	4.23	18.98	15.91	14.43	24.71	15.82	2.65	12.15
ENST00000359765	ARID5A	3.29	8.37	9.56	3.99	4.58	4.11	3.42	4.25	5.68	2.01	1.41	1
ENST00000356401	ARIH2	25.77	20.15	21.09	24.62	18.48	21.33	17.78	6.38	11.15	32.3	7.39	10.72
ENST00000397498	ARL16	27.91	23.78	23.46	30.96	33.88	39.15	30.7	27.93	22.08	33.53	16.54	29.03
ENST00000246747	ARL2	125.6	71.95	156.63	108.85	56.43	80.23	236.03	166.53	266.07	181.25	67.36	111.18
ENST00000315580	ARL6IP4	52.58	42.69	53.83	45.02	39.56	48.22	122.94	83.19	71.22	65.07	42.63	73.63
ENST00000273258	ARL6IP5	34.86	50.27	64.91	44.69	87.99	41.64	71.9	132.46	176.62	144.06	285.65	108.69
ENST00000372829	ARMCX1	14.59	13.86	28.61	27.82	32.16	16.96	21.28	21.48	38.62	24.46	56.68	26.02
ENST00000341189	ARMCX3	14.53	21.24	25.45	21.28	61.86	16.74	16.22	27.83	18.25	9.1	79.69	22.69
ENST00000303329	ARNT2	10.12	13.23	10.64	4.32	4.49	16.69	5.46	8.31	6.12	2.95	2.7	11.01
ENST00000262942	ARPC1A	116.43	103.13	137.1	159.95	156.12	137.09	102.55	83.43	66.6	86.02	111.23	66.2
ENST00000451682	ARPC1B	96.67	162.32	174.18	132.76	157.66	172.26	190.95	206.94	253.66	190.86	141.01	143.74
ENST00000228825	ARPC3	190.79	199.43	206.61	258.85	355.41	207.69	315.4	358.58	261.78	221.61	537.48	404.03
ENST00000249822	ARPP19	34.51	38.66	37.39	38.68	34.86	35.9	88.79	133.95	55.91	64.19	84.12	127.86
ENST00000420843	ARRB1	7.93	5.44	15.22	9.84	4.06	15.14	11.67	10.88	23.67	15.71	4.29	25.21
ENST00000268042	ARRDC4	54.16	61.14	29.9	24.37	90.78	30.01	70.79	47.71	25.54	25.17	83.06	18.8
ENST00000315366	ARSJ	25.95	38.38	21.95	16	32.36	30.41	18.29	19.81	14.08	7.63	38.98	19.29
ENST00000380009	ARSK	6.64	13.36	6.55	7.74	13.57	7.52	15.96	35.51	12.93	19.84	80.03	23.24
ENST00000381733	ASAH1	16.21	19.92	22.97	21.25	46.17	18.34	41.54	41.45	43.89	47.8	197.29	38.43
ENST00000336689	ASAP3	2.96	4.44	5.24	1.29	1.54	2.24	1.81	3.7	6.49	2.72	1	2.38
ENST00000296525	ASB5	1	1	1	3.59	3.51	1	1.48	1	1	12.51	17.04	1
ENST00000342444	ASCC1	9.2	9.55	10.32	9.96	8.31	10.78	27.19	17.79	16.75	10.16	14.09	17.65
ENST00000229595	ASF1A	12.29	7.61	10.09	14.14	7.74	10	38.32	20.83	21.23	15.79	28.41	20.51
ENST00000263382	ASF1B	32.76	21.14	17.21	20.44	1	25.63	86.72	48.28	38.08	36.28	1	41.81
ENST00000357332	ASNA1	76.41	53.67	77.07	90.45	76.85	65.84	69.04	52.27	41.5	63.31	38.94	44.22
ENST00000175506	ASNS	53.11	24.04	68.39	28.04	30.49	13.16	89.37	44.98	106.46	27.2	45.12	26.32
ENST00000414952	ASPHD1	4.44	4.69	4	5.13	16.9	9.37	5.15	5.96	8.58	7.71	22.31	11.91
ENST00000367409	ASPM	21.43	13.35	10.85	10.16	1	4.61	8.79	11.33	5.34	4.49	1	12.76
ENST00000372394	ASS1	64.76	90.94	213.61	62.03	228.77	141.27	83.17	154.83	254.34	102.8	279.61	197.66
ENST00000313400	ASTN2	1	1.63	1	1	1.93	9.31	1	1	1	1	1.38	11.32
ENST00000358956	ASXL1	25.84	17.51	19.39	16	12.7	17.54	15.7	13.69	17.64	17.33	8.8	13.56
ENST00000287394	ATAD2	28.03	26.44	12.72	16.82	3.12	14.37	32.57	36.52	14.67	15.12	3.88	28.62
ENST00000321990	ATAD5	3.45	2.31	1.78	2.7	1	2.17	1.84	2.45	1.19	1.48	1	3.2
ENST00000341491	ATF3	1.63	2.29	2.25	2.13	10.43	2.31	14.16	5.6	6.13	3.99	11.78	2.63
ENST00000337304	ATF4	210.77	130.7	306.03	196.94	131.51	138.32	65.65	13.09	44	54.37	15.4	20.18
ENST00000274459	ATG12	14.27	12.85	15.44	17.92	16.77	13.14	35.65	35.1	26.34	21.37	38.69	56.05
ENST00000306279	ATOH8	7.4	8.94	1	2.53	1.2	3.01	6.83	9.04	1	1.04	1	1.74
ENST00000356865	ATP10A	3.74	7.18	2.4	1	1	1.91	2.97	2.26	1.55	1	1	1
ENST00000273859	ATP10D	7.33	14.11	10.74	6.12	6.86	5.04	3.56	8.47	4.91	1.99	7.05	3.66
ENST00000375630	ATP11A	6.01	7.71	5.86	5.33	7.3	6.38	5.48	4.52	5.85	4.92	11.26	5.63
ENST00000323116	ATP11B	10.75	10.61	13.81	10.67	11.14	8.31	6.48	5.77	6.77	4.59	13.95	6.46
ENST00000327569	ATP11C	12.61	8.91	10.51	6.21	4.6	6.45	9.96	8.52	10.6	7.78	12.23	6.88
ENST00000357324	ATP13A1	25.26	22.3	23.78	21.99	26.74	27.08	16.21	22.23	24.42	27.18	31.26	20.71
ENST00000367816	ATP1B1	18.03	17.88	11.96	9.45	2.91	10.5	85.05	79.32	47.03	47.17	15.44	39.65
ENST00000428670	ATP2B1	29.81	23.67	34.31	39.71	69.35	29.07	50.04	49.79	51.07	97.05	279.82	77.51
ENST00000357681	ATP2B4	74.55	169.71	109.14	83.25	143.89	58.01	121.24	263.9	191.97	209.75	446.43	131.56
ENST00000356708	ATP5C1	123.7	119.59	106.91	134.69	124.16	132.52	220.3	219.86	159.43	137.34	202.17	190.26
ENST00000215375	ATP5D	31.64	45.65	28.98	29.82	64.78	25.84	80.06	126.89	93.6	92.44	91.39	46.13
ENST00000243997	ATP5E	30.67	24.53	35.01	35.13	48.34	27.67	504.54	929.26	486.94	225.32	1083.35	788.52
ENST00000393366	ATP5G1	76.91	68.64	57.72	101.65	102.86	111.95	111.42	117.57	70.95	81.45	100.9	131.29
ENST00000304312	ATP5I	102.12	116.78	117.17	138.47	208.03	145.76	147.18	368.72	190.03	207.23	226.86	371.75
ENST00000449683	ATP5J2	94.09	77.71	89.85	123.48	157.17	97.43	177.84	162.21	130.84	129.06	237.1	156.96
ENST00000300688	ATP5L	70.48	29.45	67.95	87.64	56.38	33.2	258.79	306.02	155.75	173.28	372.26	324.16
ENST00000507129	ATP5SL	15.8	13.51	15.5	18.26	15.27	17.3	44.85	19.9	16.87	23.89	17.79	20.63
ENST00000264649	ATP6V0A1	9.57	9.64	13.45	13.91	49.39	12.88	11.35	18.56	21.82	22.01	158.67	29.46
ENST00000330398	ATP6V0C	155.4	147.85	126	177.37	518.78	169.58	289.44	274.92	304.01	465.65	952.76	252.44
ENST00000519374	ATP6V0E1	124.49	174	115	190.43	532.12	90.95	176.44	434.86	93.65	212.28	974.32	190.48
ENST00000421974	ATP6V0E2	10.21	6.94	10.95	11.91	23.25	11.6	3.07	3.4	6.3	3.65	7.99	2.36
ENST00000276390	ATP6V1B2	26.14	40.01	26.77	45.62	67.48	30.84	44.6	64.15	36.65	54.81	97.58	45.53
ENST00000492758	ATP6V1F	56.03	79.88	59.6	93.07	232.74	100.93	127.28	152.43	87.36	98.77	177.79	123.69
ENST00000374050	ATP6V1G1	39.24	60.77	41.67	62.56	170.21	75.29	126.74	284.98	141.93	166.91	347.5	299.84
ENST00000536015	ATP8B1	19.44	28.17	24.02	11.31	54.3	4.38	18.68	25.15	28.42	15.82	107.33	6.7
ENST00000338821	ATP9A	8.85	11.4	29.82	6.93	9.12	5.6	8.45	12.45	24.76	9.05	10.56	5.99
ENST00000335514	ATPIF1	96.7	86.18	92.02	110.32	231.14	98.34	357.61	357.29	295.52	249.24	468.26	353.37
ENST00000373344	ATRX	9.18	9.57	12.05	8.55	8.06	4.34	8.25	17.07	12.58	9.74	22.14	19.79
ENST00000519948	ATXN7L3B	20.71	21.78	22.28	19.83	22.72	23.63	77.11	48.52	28.11	19.93	28.39	46.97
ENST00000395909	AURKA	66.59	44.27	29.05	51.4	9.65	47.66	83.05	61.97	32	39.77	14.7	75.48
ENST00000316199	AURKB	47.02	32.79	18.67	37.63	1	37.08	81.4	57.66	39.77	63.23	1	58
ENST00000306730	AVEN	21.51	21.45	17.72	21.79	24.08	18.32	22.95	25.53	12.49	16.29	12.77	15.25
ENST00000370626	AVPI1	23.64	15.03	13.91	21.78	43.44	18.19	36.74	15.08	17.17	6.79	35.44	18.34
ENST00000301178	AXL	284.17	164.72	106	166.73	96.95	156.02	281.4	175.47	139.82	220.12	121.19	161.05
ENST00000269392	AZI1	10.99	5.39	6.47	8.16	3.32	12.29	6.12	3.94	10.51	10.81	1.93	9.43
ENST00000265471	B3GAT3	20.97	24.23	29.79	31.9	68.08	34.45	14.56	34.08	53.91	43.67	76.67	40.07
ENST00000483209	B4GALT4	23.65	32.36	14.6	14.43	25.01	16.59	44.96	36	23.2	20.38	71.06	21.36
ENST00000029410	B4GALT7	18.17	19.19	20.89	21.93	55.93	20.5	4.5	15.98	18.6	15.65	42.32	13.63
ENST00000313005	BACE1	25.47	35.38	23.93	19.48	22.62	24.75	14.92	12.85	15.34	11.45	19.17	12.03
ENST00000394532	BAD	32.87	22.99	34.18	31.29	33.01	29.09	39.09	77.51	52.33	30.7	33.95	79.35
ENST00000312175	BANF1	153.48	89.92	114.41	133.98	63.72	108.94	560.03	458.74	358.72	290.74	150.37	557.29
ENST00000260947	BARD1	7.58	6.04	4.16	4.09	1	3.6	9.7	11.29	6.25	5.24	1	6.53
ENST00000270233	BCAM	5.2	6.9	5.52	1.14	1.04	3.53	7.41	2.62	7.91	1	1	1.9
ENST00000369541	BCAS2	33.14	18.85	26.84	45.9	30.75	26.72	56.39	70.84	37.82	39.99	96.42	72.76
ENST00000539282	BCAT1	45.03	33.76	45.99	43.56	37.06	18.55	132.86	105.66	121.03	93.97	99.43	89.09
ENST00000316273	BCAT2	17.1	14.75	17.5	17.91	18.36	16.88	29.43	28.64	26.54	26.83	25	19.16
ENST00000368759	BCCIP	46.56	25.32	27.62	67.04	42.76	37.77	54.68	62.94	33.38	107.44	44.23	79.25
ENST00000394951	BCKDK	41.09	31.55	30.61	35.79	27.6	38.89	15.93	17.5	18.18	26.88	11.79	11.47
ENST00000246785	BCL2L12	19.89	12.55	11.43	17.53	6.65	18.19	23.65	23.46	18.79	33.98	6.49	17.16
ENST00000223368	BCL7B	30.91	27.74	25.76	33.27	27.05	29.78	37.17	41.11	20.29	22.54	19.27	30.41
ENST00000334801	BCL9L	22.74	17.88	15.57	18.83	12.61	23.34	19.67	16.4	24.93	22.35	10.92	18.25
ENST00000296424	BDH2	6.83	18.88	12.87	9.87	24.3	13.14	13.81	25.84	18.43	19.73	35.46	19.47
ENST00000306005	BDKRB2	2.73	9.44	4.99	1.72	7.74	29.47	5.24	13.12	13.41	3.84	13.09	31.84
ENST00000438929	BDNF	25.38	14.21	8.41	17.37	32.27	10.39	47.55	24.99	11.6	34.83	97.12	14.35
ENST00000361523	BECN1	32.54	29.54	31.58	38.8	38.67	37.2	20.64	15.6	11.46	21.65	14.91	12.1
ENST00000372728	BEX1	1	1.29	1	1.82	18.84	2.78	1	3.85	1	1	22.08	6.76
ENST00000372695	BEX4	9.43	13.86	18.76	14.96	18.8	13	6.66	36.89	38.54	17.06	25.39	33.43
ENST00000261658	BFAR	29.23	28.38	30.18	31.35	40.26	30.77	24.21	13.88	18.79	15.22	39.32	22.77
ENST00000331595	BGN	64.2	142.58	59.59	15.99	16.52	151.81	93.05	261.25	121.52	35.38	34.4	236.37
ENST00000256495	BHLHE40	5.35	6.24	31.95	12.05	5.77	6.02	8.46	10.93	64.85	16.89	8.14	7.67
ENST00000242728	BHLHE41	3.54	4.56	4.42	5.35	3.23	1	5.09	5.63	8.07	8.09	3.9	1.05
ENST00000255192	BHMT2	5.41	1.21	5.49	7.78	1.65	3.52	7.37	1	8.44	7.36	1.12	2.71
ENST00000373886	BICC1	47.44	53.19	47.51	27.15	17	13.72	32.63	52.25	38.48	21.75	22.23	12.88
ENST00000316724	BIN1	8.57	8.29	15.78	8.83	12.69	17.6	10.07	8.17	15.15	9.96	8.1	11.92
ENST00000227758	BIRC2	47.2	33.24	21.04	46.19	32.12	43.98	18.76	17.4	5.34	10.46	19.99	20.25
ENST00000301633	BIRC5	81.98	49.04	35.2	58.96	1.06	70.44	204.89	103.75	74.87	106.54	3.32	170.07
ENST00000421745	BIRC6	13.68	15.34	14.56	12.67	12.54	11.52	10.32	16.12	11.89	14.05	19.75	19.57
ENST00000414542	BLCAP	34.21	31.06	35.86	35.79	67.72	30.11	69.49	18.75	47	18.39	70.14	24.19
ENST00000355112	BLM	5.14	3.4	2.64	4.74	1	3.9	6.18	3.49	1.77	2.28	1	4.45
ENST00000358848	BLOC1S2	13.4	17.72	16.29	18.16	28.45	15.46	38.64	81.76	29.01	31.99	37.29	61.96
ENST00000224764	BMPR1A	13.47	13.86	14.59	12.3	12.02	13.43	5.83	5.73	6.47	9.42	11.58	7.09
